airline,from,to,day,month,year,age,gender,reason,stay,transit,connection,wait
Delta Airlines,TPQ,TLC,17,7,2015,58,undisclosed,Back Home,Home,,False,0
Delta Airlines,IZT,LAX,5,2,2018,32,male,On vacation/Pleasure,Friend/Family,,True,704
American Airlines,GDL,TLC,24,9,2014,2,unspecified,Back Home,Home,,False,0
Alaska,TLC,IZT,5,4,2017,18,male,Business/Work,Short-term homestay,Public Transportation,False,0
American Airlines,MTY,IZT,16,5,2017,17,female,Business/Work,Short-term homestay,,True,487
Alaska,DEN,PVR,15,5,2013,37,undisclosed,Business/Work,Home,,True,314
American Airlines,TPQ,SJC,18,12,2017,11,male,Back Home,Home,,False,0
American Airlines,TLC,PVR,20,4,2014,68,unspecified,Business/Work,Hotel,Pickup,False,0
Aeromar,MTY,SJC,18,1,2019,81,female,On vacation/Pleasure,Friend/Family,,True,218
Aeromar,GDL,MTY,6,11,2017,70,unspecified,On vacation/Pleasure,Hotel,,True,78
Aeromexico,GDL,JFK,9,11,2013,31,female,Back Home,Home,,False,0
Volaris,PDX,TPQ,20,8,2018,89,male,On vacation/Pleasure,Hotel,,True,328
Viva Aerobus,PVR,GDL,27,7,2018,1,male,Business/Work,Friend/Family,Public Transportation,False,0
Alaska,SJC,JFK,18,8,2013,26,female,Business/Work,Home,Own car,False,0
Delta Airlines,TPQ,GDL,31,3,2023,53,male,Business/Work,Friend/Family,,True,494
Lufthansa,LAX,SJC,30,11,2015,20,undisclosed,Business/Work,Short-term homestay,,True,478
Alaska,PDX,GDL,6,6,2022,29,female,Business/Work,Short-term homestay,,True,286
Lufthansa,PVR,IZT,25,1,2022,65,male,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Delta Airlines,TPQ,DEN,21,11,2016,79,female,Back Home,Home,Pickup,False,0
Aeromexico,JFK,PDX,23,3,2019,49,undisclosed,Business/Work,Friend/Family,Pickup,False,0
Viva Aerobus,MTY,DEN,26,8,2014,52,male,Back Home,Home,Mobility as a service,False,0
Delta Airlines,IZT,JFK,13,2,2022,90,unspecified,Back Home,Home,Public Transportation,False,0
Viva Aerobus,TLC,PDX,19,1,2014,84,female,On vacation/Pleasure,Friend/Family,,True,356
Aeromar,PVR,GDL,28,3,2013,3,unspecified,On vacation/Pleasure,Short-term homestay,,True,468
Delta Airlines,MTY,GDL,26,5,2015,73,unspecified,On vacation/Pleasure,Friend/Family,,True,650
Lufthansa,SJC,PVR,14,10,2016,30,female,Business/Work,Friend/Family,Own car,False,0
Aeromar,GDL,TLC,21,2,2013,90,male,Back Home,Home,,False,0
Alaska,GDL,TPQ,15,1,2013,25,male,On vacation/Pleasure,Home,,True,476
Delta Airlines,GDL,PVR,12,4,2023,29,undisclosed,Back Home,Home,Own car,False,0
Aeromexico,PDX,TLC,7,4,2021,60,undisclosed,Business/Work,Friend/Family,Mobility as a service,False,0
Volaris,IZT,SJC,4,10,2020,83,male,Back Home,Home,,False,0
Delta Airlines,PDX,TLC,12,3,2017,67,female,Back Home,Home,,False,0
Viva Aerobus,IZT,MTY,19,8,2015,58,unspecified,Back Home,Home,Public Transportation,False,0
Aeromexico,SJC,PVR,17,3,2013,89,undisclosed,Back Home,Home,Airport cab,False,0
Delta Airlines,TLC,PVR,13,12,2022,53,unspecified,Back Home,Home,,False,0
Alaska,PVR,SJC,4,1,2014,22,female,Back Home,Home,Pickup,False,0
Aeromar,TPQ,SJC,30,1,2017,89,undisclosed,On vacation/Pleasure,Short-term homestay,,True,36
Lufthansa,JFK,MTY,23,2,2015,37,male,Back Home,Home,Car rental,False,0
Viva Aerobus,PDX,PVR,30,9,2018,38,female,Back Home,Home,,False,0
Volaris,TPQ,DEN,23,9,2022,24,unspecified,Back Home,Home,,False,0
Delta Airlines,SJC,TPQ,7,10,2021,33,male,Business/Work,Short-term homestay,,True,255
Viva Aerobus,PVR,SJC,21,3,2014,2,unspecified,Business/Work,Home,,True,289
Volaris,PDX,GDL,14,7,2013,33,male,Back Home,Home,,False,0
Aeromexico,IZT,GDL,15,5,2013,17,male,Back Home,Home,,False,0
Alaska,PVR,TPQ,16,8,2016,71,female,Business/Work,Friend/Family,Car rental,False,0
Viva Aerobus,TLC,PDX,11,4,2015,70,male,Back Home,Home,,False,0
Volaris,LAX,JFK,9,5,2019,26,undisclosed,Business/Work,Short-term homestay,Own car,False,0
Volaris,SJC,PDX,30,4,2014,33,unspecified,Business/Work,Friend/Family,,True,80
Alaska,DEN,PDX,7,6,2018,37,female,Back Home,Home,,False,0
Viva Aerobus,SJC,PVR,24,6,2013,48,male,On vacation/Pleasure,Friend/Family,,True,572
Aeromexico,IZT,GDL,26,4,2017,48,unspecified,Business/Work,Home,Own car,False,0
American Airlines,IZT,LAX,20,5,2015,43,undisclosed,Back Home,Home,Car rental,False,0
Lufthansa,JFK,TPQ,24,11,2021,76,male,On vacation/Pleasure,Friend/Family,,True,616
Viva Aerobus,DEN,SJC,9,2,2018,46,unspecified,Business/Work,Short-term homestay,,True,222
Aeromexico,JFK,DEN,3,2,2023,14,female,Business/Work,Short-term homestay,Mobility as a service,False,0
Alaska,PVR,MTY,19,6,2015,30,unspecified,On vacation/Pleasure,Hotel,,True,638
Aeromexico,TLC,DEN,28,11,2016,42,undisclosed,Back Home,Home,Airport cab,False,0
American Airlines,IZT,MTY,6,9,2013,62,male,Back Home,Home,Pickup,False,0
Viva Aerobus,SJC,IZT,3,6,2022,81,undisclosed,On vacation/Pleasure,Short-term homestay,Car rental,False,0
Delta Airlines,TLC,PDX,29,8,2022,13,unspecified,Business/Work,Home,,True,167
Delta Airlines,DEN,LAX,5,9,2015,57,undisclosed,Back Home,Home,Airport cab,False,0
Delta Airlines,PVR,GDL,8,9,2020,60,unspecified,Business/Work,Hotel,,True,698
Volaris,SJC,TPQ,4,4,2018,84,undisclosed,Business/Work,Home,,True,610
Aeromar,TPQ,MTY,3,11,2019,59,undisclosed,Back Home,Home,Public Transportation,False,0
Delta Airlines,TPQ,MTY,26,9,2019,74,male,Back Home,Home,Pickup,False,0
Aeromar,JFK,MTY,29,4,2016,36,unspecified,Business/Work,Hotel,Own car,False,0
Viva Aerobus,MTY,PDX,27,3,2016,87,male,On vacation/Pleasure,Hotel,Public Transportation,False,0
Viva Aerobus,IZT,TPQ,12,3,2019,78,female,On vacation/Pleasure,Friend/Family,,True,447
Lufthansa,TPQ,IZT,13,11,2018,23,male,On vacation/Pleasure,Short-term homestay,,True,186
Aeromexico,TLC,LAX,4,11,2020,90,male,Business/Work,Friend/Family,,True,261
Aeromexico,DEN,IZT,24,8,2022,13,female,On vacation/Pleasure,Home,,True,479
Volaris,PDX,SJC,29,7,2019,9,unspecified,Back Home,Home,,False,0
Lufthansa,GDL,TPQ,20,6,2018,55,undisclosed,On vacation/Pleasure,Home,,True,466
Aeromar,PVR,JFK,18,6,2022,25,undisclosed,Back Home,Home,,False,0
Volaris,PVR,TLC,5,4,2022,76,unspecified,On vacation/Pleasure,Friend/Family,,True,415
Delta Airlines,IZT,JFK,9,8,2022,54,male,Business/Work,Home,Own car,False,0
Lufthansa,TLC,MTY,8,2,2021,63,undisclosed,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Delta Airlines,PDX,PVR,23,2,2022,18,unspecified,Back Home,Home,,False,0
Aeromexico,SJC,LAX,17,8,2018,23,undisclosed,On vacation/Pleasure,Home,Own car,False,0
Volaris,LAX,MTY,20,3,2019,66,male,On vacation/Pleasure,Home,Public Transportation,False,0
American Airlines,PVR,GDL,31,8,2013,18,unspecified,Back Home,Home,,False,0
Aeromar,MTY,JFK,29,6,2019,14,male,Back Home,Home,Mobility as a service,False,0
Volaris,TPQ,SJC,26,7,2017,63,unspecified,Back Home,Home,,False,0
Lufthansa,PVR,JFK,28,11,2021,64,undisclosed,On vacation/Pleasure,Short-term homestay,,True,344
Aeromexico,TPQ,PVR,18,2,2015,8,male,Business/Work,Friend/Family,Own car,False,0
Viva Aerobus,IZT,TLC,10,7,2013,29,female,Back Home,Home,,False,0
Volaris,TPQ,JFK,6,3,2015,80,male,Back Home,Home,,False,0
Aeromexico,JFK,SJC,30,10,2020,65,unspecified,On vacation/Pleasure,Friend/Family,,True,292
Volaris,IZT,SJC,4,4,2017,27,male,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Lufthansa,TPQ,JFK,12,6,2016,62,undisclosed,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
Aeromexico,LAX,GDL,4,2,2021,8,female,On vacation/Pleasure,Friend/Family,,True,227
Lufthansa,GDL,PDX,16,2,2018,71,undisclosed,Back Home,Home,,False,0
American Airlines,PVR,MTY,2,6,2022,39,male,Business/Work,Home,Own car,False,0
American Airlines,SJC,MTY,5,5,2013,20,male,Back Home,Home,Own car,False,0
Lufthansa,TLC,TPQ,11,12,2018,75,undisclosed,Business/Work,Short-term homestay,Public Transportation,False,0
Viva Aerobus,SJC,TLC,4,4,2017,88,undisclosed,Business/Work,Friend/Family,Public Transportation,False,0
Lufthansa,PVR,IZT,9,2,2020,70,unspecified,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Viva Aerobus,LAX,GDL,17,2,2019,66,female,Back Home,Home,Car rental,False,0
Volaris,PVR,MTY,13,2,2019,33,female,Business/Work,Home,Car rental,False,0
Aeromexico,IZT,PVR,13,9,2015,80,female,Back Home,Home,Public Transportation,False,0
Volaris,LAX,IZT,10,12,2022,56,female,Business/Work,Hotel,Airport cab,False,0
American Airlines,LAX,SJC,27,5,2015,27,undisclosed,Business/Work,Home,Car rental,False,0
Viva Aerobus,TLC,DEN,23,10,2015,15,unspecified,Back Home,Home,Airport cab,False,0
Delta Airlines,IZT,GDL,29,4,2020,72,female,Business/Work,Hotel,Public Transportation,False,0
Lufthansa,LAX,SJC,11,5,2021,59,unspecified,On vacation/Pleasure,Home,,True,139
Aeromar,PDX,GDL,19,1,2018,72,female,Business/Work,Short-term homestay,Pickup,False,0
Lufthansa,GDL,SJC,8,1,2021,39,female,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Delta Airlines,PVR,GDL,25,12,2014,7,undisclosed,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Aeromar,LAX,IZT,15,3,2013,26,female,On vacation/Pleasure,Short-term homestay,,True,205
Viva Aerobus,TPQ,PDX,22,6,2018,42,male,Business/Work,Short-term homestay,,True,479
Delta Airlines,PVR,TPQ,28,2,2021,16,female,Business/Work,Friend/Family,Airport cab,False,0
Viva Aerobus,PDX,TLC,24,1,2019,79,male,Business/Work,Short-term homestay,,True,720
Lufthansa,TLC,PDX,28,12,2017,59,male,Business/Work,Short-term homestay,Pickup,False,0
American Airlines,LAX,GDL,24,8,2016,8,female,Business/Work,Friend/Family,,True,59
Lufthansa,PVR,LAX,15,6,2014,86,undisclosed,Back Home,Home,,False,0
Delta Airlines,IZT,SJC,12,12,2015,28,undisclosed,Back Home,Home,,False,0
Delta Airlines,TPQ,JFK,22,10,2022,76,unspecified,Business/Work,Friend/Family,Own car,False,0
American Airlines,GDL,SJC,7,7,2017,62,female,Business/Work,Home,,True,575
Lufthansa,JFK,MTY,18,3,2018,80,male,On vacation/Pleasure,Friend/Family,,True,503
Viva Aerobus,LAX,TLC,24,3,2021,52,female,Back Home,Home,,False,0
Delta Airlines,IZT,LAX,19,4,2020,27,undisclosed,Business/Work,Short-term homestay,,True,603
American Airlines,PDX,SJC,2,5,2020,65,undisclosed,On vacation/Pleasure,Home,,True,135
Aeromar,LAX,MTY,25,11,2016,57,unspecified,Business/Work,Friend/Family,Pickup,False,0
Aeromar,GDL,DEN,13,3,2015,64,male,Back Home,Home,,False,0
American Airlines,GDL,MTY,20,10,2019,8,male,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0
Delta Airlines,TLC,TPQ,6,12,2022,44,male,On vacation/Pleasure,Friend/Family,Own car,False,0
Alaska,DEN,PDX,21,3,2016,30,female,Business/Work,Friend/Family,Mobility as a service,False,0
Aeromar,JFK,GDL,22,12,2018,27,female,Back Home,Home,,False,0
Alaska,PVR,IZT,1,7,2013,2,unspecified,On vacation/Pleasure,Friend/Family,,True,558
Delta Airlines,PVR,MTY,17,1,2016,26,female,On vacation/Pleasure,Short-term homestay,,True,664
Delta Airlines,SJC,PDX,7,9,2022,33,female,On vacation/Pleasure,Friend/Family,,True,406
Volaris,TPQ,DEN,22,4,2017,41,female,Business/Work,Short-term homestay,,True,257
Aeromexico,JFK,LAX,26,8,2016,10,male,Back Home,Home,Public Transportation,False,0
Viva Aerobus,MTY,TLC,1,1,2021,75,female,Back Home,Home,,False,0
Alaska,TLC,LAX,31,7,2016,6,unspecified,Business/Work,Hotel,Own car,False,0
Alaska,PDX,DEN,28,1,2022,71,undisclosed,Business/Work,Short-term homestay,,True,52
Aeromar,GDL,PVR,28,4,2015,69,unspecified,Back Home,Home,Airport cab,False,0
American Airlines,GDL,JFK,19,5,2017,18,unspecified,Business/Work,Home,,True,430
Alaska,GDL,DEN,20,1,2020,82,female,Business/Work,Hotel,,True,540
Lufthansa,SJC,JFK,19,1,2022,43,unspecified,Back Home,Home,,False,0
Lufthansa,DEN,GDL,12,12,2018,55,female,Back Home,Home,Airport cab,False,0
Aeromexico,MTY,TLC,3,12,2013,66,unspecified,On vacation/Pleasure,Home,,True,210
Lufthansa,GDL,JFK,16,2,2023,32,female,Business/Work,Home,Pickup,False,0
Alaska,JFK,DEN,26,6,2021,80,male,Business/Work,Home,,True,600
Alaska,JFK,GDL,28,7,2016,54,undisclosed,On vacation/Pleasure,Home,Car rental,False,0
Volaris,LAX,TLC,23,12,2021,23,undisclosed,Back Home,Home,,False,0
Lufthansa,TLC,PVR,7,11,2022,46,undisclosed,Back Home,Home,Public Transportation,False,0
Aeromexico,PDX,GDL,10,9,2019,8,undisclosed,Business/Work,Hotel,Car rental,False,0
Lufthansa,TPQ,PDX,11,5,2017,66,unspecified,On vacation/Pleasure,Friend/Family,,True,328
Lufthansa,MTY,TPQ,13,5,2019,18,female,On vacation/Pleasure,Short-term homestay,,True,396
Delta Airlines,IZT,DEN,16,6,2013,67,female,Business/Work,Friend/Family,Pickup,False,0
Lufthansa,GDL,PDX,17,4,2013,70,unspecified,Back Home,Home,,False,0
Aeromar,DEN,TLC,22,3,2020,49,female,Business/Work,Short-term homestay,Pickup,False,0
Delta Airlines,TPQ,JFK,5,3,2015,51,male,Business/Work,Home,,True,470
Aeromar,DEN,PDX,31,7,2020,74,undisclosed,On vacation/Pleasure,Home,Public Transportation,False,0
Delta Airlines,TLC,TPQ,13,2,2023,23,undisclosed,On vacation/Pleasure,Hotel,,True,289
Lufthansa,LAX,DEN,18,2,2018,32,undisclosed,Business/Work,Short-term homestay,Own car,False,0
Aeromar,DEN,LAX,28,2,2016,59,undisclosed,Business/Work,Home,Public Transportation,False,0
Lufthansa,DEN,LAX,12,6,2014,5,male,Back Home,Home,Car rental,False,0
Aeromexico,MTY,TPQ,29,6,2020,80,female,Business/Work,Hotel,,True,502
American Airlines,LAX,SJC,15,2,2016,17,male,On vacation/Pleasure,Short-term homestay,Own car,False,0
Delta Airlines,TLC,GDL,2,8,2020,23,female,Back Home,Home,Car rental,False,0
Delta Airlines,DEN,IZT,5,1,2021,36,male,Back Home,Home,,False,0
Aeromar,LAX,GDL,31,7,2017,71,undisclosed,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Aeromar,GDL,TPQ,14,2,2022,26,female,Back Home,Home,Own car,False,0
Delta Airlines,PDX,MTY,18,4,2020,25,unspecified,Back Home,Home,Public Transportation,False,0
American Airlines,TPQ,PDX,14,12,2014,47,unspecified,Back Home,Home,Pickup,False,0
Aeromar,PDX,JFK,11,4,2016,32,male,Business/Work,Home,,True,210
Viva Aerobus,MTY,PVR,13,6,2018,51,unspecified,On vacation/Pleasure,Friend/Family,Pickup,False,0
Alaska,IZT,LAX,25,10,2021,45,male,Business/Work,Short-term homestay,Pickup,False,0
Viva Aerobus,SJC,MTY,6,4,2018,72,female,Business/Work,Hotel,,True,555
Delta Airlines,PDX,PVR,15,5,2018,2,unspecified,Back Home,Home,Pickup,False,0
Lufthansa,GDL,PDX,4,5,2015,6,undisclosed,Business/Work,Friend/Family,,True,525
Lufthansa,JFK,DEN,29,5,2021,64,female,Back Home,Home,Mobility as a service,False,0
Alaska,MTY,TPQ,18,3,2021,37,unspecified,Back Home,Home,Pickup,False,0
Aeromar,DEN,TPQ,28,1,2018,13,undisclosed,On vacation/Pleasure,Home,,True,605
Alaska,TLC,TPQ,8,10,2013,45,male,Business/Work,Hotel,,True,675
Alaska,PDX,TLC,19,10,2015,28,male,Business/Work,Hotel,Mobility as a service,False,0
American Airlines,PDX,DEN,13,8,2022,78,unspecified,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Aeromar,LAX,IZT,18,2,2018,81,female,Business/Work,Friend/Family,Pickup,False,0
American Airlines,GDL,TPQ,18,2,2015,44,female,On vacation/Pleasure,Home,,True,362
Aeromexico,DEN,JFK,26,1,2020,31,undisclosed,Business/Work,Home,,True,33
Aeromexico,DEN,TLC,6,4,2013,49,unspecified,Back Home,Home,,False,0
Volaris,GDL,MTY,11,1,2017,70,undisclosed,Business/Work,Home,,True,666
Lufthansa,PDX,TPQ,13,4,2021,64,male,Back Home,Home,Public Transportation,False,0
Lufthansa,IZT,TLC,26,1,2022,64,unspecified,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Alaska,DEN,GDL,3,6,2021,19,female,Back Home,Home,Public Transportation,False,0
Aeromexico,IZT,GDL,9,1,2021,56,male,On vacation/Pleasure,Friend/Family,,True,129
Aeromar,IZT,MTY,11,11,2016,4,undisclosed,Back Home,Home,Car rental,False,0
Aeromexico,DEN,SJC,21,2,2014,65,female,Back Home,Home,,False,0
Viva Aerobus,PVR,LAX,30,4,2019,39,male,Back Home,Home,Own car,False,0
Aeromexico,PDX,GDL,29,6,2014,46,undisclosed,On vacation/Pleasure,Home,,True,652
Lufthansa,TPQ,PVR,18,6,2018,69,male,On vacation/Pleasure,Friend/Family,,True,412
Delta Airlines,SJC,TPQ,2,10,2013,12,undisclosed,Business/Work,Hotel,Own car,False,0
Volaris,TPQ,LAX,8,7,2015,35,female,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Volaris,PDX,LAX,2,2,2015,58,undisclosed,Business/Work,Hotel,Own car,False,0
Aeromar,TPQ,GDL,11,2,2016,22,female,Back Home,Home,,False,0
Volaris,PVR,GDL,9,6,2022,19,unspecified,Back Home,Home,,False,0
Alaska,TLC,LAX,13,9,2014,90,female,Business/Work,Friend/Family,,True,188
Viva Aerobus,MTY,DEN,5,12,2019,82,male,Business/Work,Hotel,,True,567
Volaris,GDL,TLC,26,7,2014,46,female,On vacation/Pleasure,Short-term homestay,Own car,False,0
Delta Airlines,DEN,PVR,6,5,2020,51,undisclosed,On vacation/Pleasure,Hotel,,True,95
Aeromexico,JFK,TPQ,29,3,2015,50,undisclosed,On vacation/Pleasure,Home,Mobility as a service,False,0
Aeromar,TLC,LAX,22,7,2020,77,undisclosed,Business/Work,Home,,True,213
Aeromar,DEN,JFK,1,7,2014,63,undisclosed,Back Home,Home,,False,0
Aeromexico,LAX,MTY,9,7,2022,63,male,Back Home,Home,Pickup,False,0
Viva Aerobus,IZT,JFK,24,2,2022,67,unspecified,Back Home,Home,,False,0
Alaska,SJC,PVR,28,5,2021,87,unspecified,Business/Work,Short-term homestay,Public Transportation,False,0
Alaska,LAX,PDX,28,5,2020,81,unspecified,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Lufthansa,TPQ,IZT,11,10,2018,38,male,On vacation/Pleasure,Hotel,,True,365
Aeromexico,JFK,LAX,8,2,2019,77,undisclosed,On vacation/Pleasure,Hotel,,True,352
Volaris,DEN,PVR,20,6,2019,37,unspecified,Business/Work,Friend/Family,Mobility as a service,False,0
Viva Aerobus,PDX,GDL,10,2,2019,43,female,Business/Work,Home,,True,357
Alaska,LAX,TLC,17,12,2013,51,undisclosed,Business/Work,Hotel,,True,198
Aeromar,MTY,LAX,26,11,2018,43,unspecified,On vacation/Pleasure,Home,Pickup,False,0
Aeromexico,IZT,DEN,19,7,2019,44,unspecified,Back Home,Home,Airport cab,False,0
Delta Airlines,JFK,GDL,18,4,2017,41,female,Business/Work,Friend/Family,,True,219
American Airlines,IZT,TLC,11,7,2014,55,unspecified,On vacation/Pleasure,Home,,True,522
Aeromar,PVR,IZT,9,12,2016,5,male,Back Home,Home,,False,0
Viva Aerobus,SJC,JFK,30,7,2016,54,male,On vacation/Pleasure,Home,Car rental,False,0
Volaris,TLC,GDL,1,2,2017,70,unspecified,Business/Work,Home,Own car,False,0
Aeromar,DEN,TPQ,3,5,2015,84,undisclosed,On vacation/Pleasure,Friend/Family,,True,605
Alaska,MTY,PDX,1,12,2020,66,female,Back Home,Home,,False,0
Aeromexico,TPQ,JFK,16,11,2018,5,unspecified,Back Home,Home,,False,0
Volaris,TLC,JFK,8,10,2016,55,unspecified,On vacation/Pleasure,Friend/Family,Own car,False,0
American Airlines,GDL,TLC,26,12,2013,4,male,Back Home,Home,Public Transportation,False,0
Volaris,SJC,TPQ,31,5,2018,28,unspecified,Business/Work,Home,,True,489
Volaris,PVR,TLC,18,7,2020,64,female,Back Home,Home,,False,0
Volaris,MTY,TLC,5,7,2022,58,female,Business/Work,Home,,True,413
American Airlines,LAX,PDX,31,10,2018,22,undisclosed,Back Home,Home,Public Transportation,False,0
Aeromexico,GDL,SJC,19,7,2019,11,male,Business/Work,Home,,True,528
Aeromar,SJC,DEN,23,7,2022,3,unspecified,Business/Work,Short-term homestay,,True,659
Aeromexico,GDL,DEN,24,12,2016,2,male,Business/Work,Home,,True,330
Viva Aerobus,SJC,JFK,26,6,2022,28,male,On vacation/Pleasure,Friend/Family,,True,595
Viva Aerobus,MTY,TLC,19,3,2013,2,unspecified,Business/Work,Short-term homestay,,True,102
American Airlines,SJC,PDX,11,3,2018,35,undisclosed,On vacation/Pleasure,Home,Public Transportation,False,0
Aeromexico,IZT,PDX,11,3,2018,71,unspecified,Business/Work,Home,,True,495
Aeromar,IZT,PDX,5,2,2021,26,female,Back Home,Home,,False,0
Lufthansa,DEN,JFK,2,9,2021,22,undisclosed,Back Home,Home,,False,0
Aeromar,MTY,TPQ,25,12,2014,22,undisclosed,On vacation/Pleasure,Short-term homestay,Car rental,False,0
American Airlines,DEN,IZT,17,9,2022,43,undisclosed,Back Home,Home,Public Transportation,False,0
Delta Airlines,PDX,IZT,28,9,2019,26,female,Back Home,Home,Airport cab,False,0
Viva Aerobus,PVR,PDX,19,8,2017,86,female,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Volaris,SJC,GDL,29,1,2022,30,undisclosed,On vacation/Pleasure,Hotel,Airport cab,False,0
Alaska,SJC,JFK,6,3,2014,72,female,Business/Work,Hotel,Car rental,False,0
Alaska,MTY,GDL,21,8,2018,7,female,Back Home,Home,,False,0
Lufthansa,GDL,JFK,25,1,2014,84,male,Business/Work,Short-term homestay,,True,120
Aeromexico,LAX,TLC,6,3,2014,59,female,Back Home,Home,,False,0
Delta Airlines,PVR,PDX,3,5,2021,54,male,Back Home,Home,Car rental,False,0
Delta Airlines,PDX,MTY,13,5,2013,27,male,Back Home,Home,,False,0
Aeromar,DEN,MTY,4,2,2022,76,unspecified,Back Home,Home,,False,0
Lufthansa,MTY,LAX,21,8,2015,70,undisclosed,Business/Work,Short-term homestay,Mobility as a service,False,0
Viva Aerobus,GDL,JFK,4,1,2017,9,unspecified,On vacation/Pleasure,Hotel,,True,691
Aeromar,TLC,LAX,7,2,2014,7,female,On vacation/Pleasure,Hotel,,True,287
Delta Airlines,LAX,TLC,17,1,2013,62,unspecified,Business/Work,Short-term homestay,,True,195
Alaska,GDL,TLC,31,7,2013,6,unspecified,On vacation/Pleasure,Hotel,,True,45
Aeromexico,DEN,IZT,27,12,2021,27,unspecified,Back Home,Home,Pickup,False,0
Aeromexico,TPQ,LAX,20,9,2020,20,male,On vacation/Pleasure,Hotel,,True,328
Delta Airlines,PDX,SJC,11,12,2017,59,male,Business/Work,Friend/Family,Pickup,False,0
Aeromexico,SJC,IZT,15,7,2022,87,male,Back Home,Home,,False,0
American Airlines,TPQ,LAX,3,5,2016,75,female,On vacation/Pleasure,Home,Mobility as a service,False,0
American Airlines,PDX,DEN,13,4,2014,62,female,On vacation/Pleasure,Hotel,Public Transportation,False,0
Lufthansa,PDX,PVR,6,1,2019,42,unspecified,Back Home,Home,Car rental,False,0
Aeromexico,MTY,DEN,5,6,2017,82,unspecified,Business/Work,Hotel,,True,185
American Airlines,DEN,SJC,13,3,2023,24,female,On vacation/Pleasure,Home,,True,226
Aeromexico,MTY,TLC,14,5,2018,50,female,On vacation/Pleasure,Short-term homestay,,True,409
Viva Aerobus,MTY,PVR,9,5,2021,33,unspecified,Business/Work,Hotel,,True,150
Lufthansa,SJC,JFK,23,4,2017,45,unspecified,On vacation/Pleasure,Friend/Family,Pickup,False,0
Delta Airlines,JFK,MTY,25,3,2022,20,unspecified,Back Home,Home,Mobility as a service,False,0
Aeromexico,PDX,DEN,9,4,2020,42,undisclosed,Business/Work,Home,Public Transportation,False,0
Volaris,LAX,PDX,22,10,2020,8,unspecified,Back Home,Home,,False,0
Aeromexico,DEN,PDX,26,9,2018,48,unspecified,On vacation/Pleasure,Hotel,Car rental,False,0
Delta Airlines,TPQ,GDL,10,12,2019,24,female,Business/Work,Friend/Family,,True,87
Aeromar,PVR,GDL,13,5,2015,70,unspecified,Business/Work,Friend/Family,Mobility as a service,False,0
Delta Airlines,DEN,TLC,17,9,2015,41,unspecified,On vacation/Pleasure,Hotel,,True,599
Viva Aerobus,DEN,PVR,12,4,2017,48,unspecified,Back Home,Home,Car rental,False,0
Delta Airlines,PVR,JFK,29,8,2022,88,unspecified,On vacation/Pleasure,Short-term homestay,Own car,False,0
Volaris,PDX,IZT,29,12,2014,61,undisclosed,Back Home,Home,Car rental,False,0
Volaris,IZT,GDL,9,4,2015,42,unspecified,Business/Work,Friend/Family,,True,227
Aeromexico,LAX,TPQ,9,8,2017,20,male,Business/Work,Friend/Family,,True,119
Aeromar,PVR,MTY,29,12,2014,29,male,Business/Work,Short-term homestay,,True,448
Aeromar,GDL,MTY,19,6,2020,85,female,On vacation/Pleasure,Home,Public Transportation,False,0
American Airlines,LAX,DEN,18,8,2020,45,male,Back Home,Home,,False,0
Aeromar,LAX,PVR,9,4,2019,90,male,On vacation/Pleasure,Short-term homestay,,True,409
Aeromar,GDL,SJC,19,11,2022,39,male,Business/Work,Hotel,Mobility as a service,False,0
Alaska,GDL,SJC,1,1,2023,68,female,Business/Work,Friend/Family,Own car,False,0
American Airlines,TPQ,MTY,8,4,2022,73,male,On vacation/Pleasure,Short-term homestay,,True,321
Viva Aerobus,IZT,JFK,28,11,2022,29,female,On vacation/Pleasure,Hotel,Car rental,False,0
Aeromexico,TLC,LAX,13,2,2016,17,undisclosed,On vacation/Pleasure,Friend/Family,,True,351
Aeromexico,IZT,PDX,21,7,2019,3,undisclosed,Back Home,Home,,False,0
Lufthansa,JFK,PDX,30,1,2018,14,unspecified,On vacation/Pleasure,Short-term homestay,,True,640
American Airlines,TPQ,JFK,3,7,2014,61,female,Back Home,Home,,False,0
Volaris,LAX,PVR,21,11,2014,82,male,Back Home,Home,Public Transportation,False,0
Viva Aerobus,LAX,MTY,23,4,2016,54,male,On vacation/Pleasure,Friend/Family,Car rental,False,0
Aeromar,LAX,DEN,3,4,2022,2,female,Business/Work,Friend/Family,,True,117
Lufthansa,SJC,TPQ,19,8,2016,34,male,Back Home,Home,Pickup,False,0
Lufthansa,PDX,IZT,28,4,2018,15,unspecified,Business/Work,Friend/Family,,True,605
